
                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 1 of 5

Project: Unnamed Project                                             Run execution date :12/ 1/2025
Analyst: Eunseo                                                      Model revision date:12/ 1/2025

Replication ended at time      : 10080.0 Minutes (Monday, August 11, 2025, 17:40:02)
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Worker_Process.Utilization                  .27591     (Insuf)    .00000     1.0000     .00000    
Process_Inspection.Queue.NumberInQueue      .63368     (Insuf)    .00000     9.0000     .00000    
InnerHole_Drilling.Queue.NumberInQueue      .31556     (Insuf)    .00000     4.0000     .00000    
Finishing2.Queue.NumberInQueue              .46736     (Insuf)    .00000     6.0000     .00000    
Finishing1.Queue.NumberInQueue              .71377     (Insuf)    .00000     8.0000     .00000    
Load.Queue.NumberInQueue                    .37181     (Insuf)    .00000     6.0000     .00000    
Packaging.Queue.NumberInQueue               .64689     (Insuf)    .00000     4.0000     .00000    
Machining_Input.Queue.NumberInQueue         .94147     (Insuf)    .00000     20.000     .00000    
HousingCover_Assemble.Queue.NumberInQueue   2.0596     (Insuf)    .00000     5.0000     1.0000    
Grinding.Queue.NumberInQueue                .36547     (Insuf)    .00000     7.0000     .00000    
Tapping.Queue.NumberInQueue                 1.2789     (Insuf)    .00000     4.0000     2.0000    
Final_Inspection.Queue.NumberInQueue        3.0145     (Insuf)    .00000     7.0000     7.0000    
Controller_Assemble.Queue.NumberInQueue     .57558     (Insuf)    .00000     5.0000     .00000    

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Material.NumberIn                           140.00    
Material.NumberOut                          130.00    
Input_Machine2.NumberSeized                 70.000    
Input_Machine2.ScheduledUtilization         .31250    
Input_Machine1.NumberSeized                 72.000    
Input_Machine1.ScheduledUtilization         .32143    
Loader1.NumberSeized                        70.000    
Loader1.ScheduledUtilization                .51909    
Loader2.NumberSeized                        59.000    
Loader2.ScheduledUtilization                .44620    
Hole_Driller1.NumberSeized                  77.000    
Hole_Driller1.ScheduledUtilization          .45833    
Hole_Driller2.NumberSeized                  52.000    
Hole_Driller2.ScheduledUtilization          .30952    
Final_Inspector1.NumberSeized               124.00    
Final_Inspector1.ScheduledUtilization       .55357    
Finishing_Machine2_2.NumberSeized           63.000    
Finishing_Machine2_2.ScheduledUtilization   .34510    
Finishing_Machine2_1.NumberSeized           81.000    
Finishing_Machine2_1.ScheduledUtilization   .41453    
Finishing_Machine1_2.NumberSeized           65.000    
Finishing_Machine1_2.ScheduledUtilization   .34356    
Finishing_Machine1_1.NumberSeized           79.000    
Finishing_Machine1_1.ScheduledUtilization   .39791    
Tapper1.NumberSeized                        127.00    
Tapper1.ScheduledUtilization                .37798    
HousingCover_Assembler3.NumberSeized        40.000    
HousingCover_Assembler3.ScheduledUtilizati  .71429    
HousingCover_Assembler2.NumberSeized        45.000    
HousingCover_Assembler2.ScheduledUtilizati  .80357    
HousingCover_Assembler1.NumberSeized        46.000    
HousingCover_Assembler1.ScheduledUtilizati  .82143    
Packaging_Machine2.NumberSeized             49.000    
Packaging_Machine2.ScheduledUtilization     .51042    
Packaging_Machine1.NumberSeized             61.000    
Packaging_Machine1.ScheduledUtilization     .63542    
